tile_id,accuracy,precision,recall,f1,jaccard
T11SLV_2018_9_1,0.8513154767966867,0.9718033669600719,0.8679903166818305,0.9169679401990206,0.8466674018565294
T10SFG_2018_6_8,0.6307052394008916,0.9062234536634937,0.6288016922729451,0.742443656704283,0.5903859979414823
T10SFJ_2018_6_1,0.4781505707474078,0.9258290855628626,0.4573670213344293,0.6122684831415701,0.4412009640940013
T11SLV_2018_1_0,0.6991847917637993,0.9687699678021625,0.7076960734087002,0.8179046701771283,0.6919109225308295
T11SKV_2018_3_8,0.5500871722658084,0.9641655198298511,0.5454167462861915,0.6967119745781483,0.5345802009902106
T11SKV_2018_0_3,0.6805498238812814,0.9505450604755389,0.6936821411018275,0.8020499017798448,0.6695186243329201
T10SEJ_2018_2_5,0.810611674811063,0.9649933472679525,0.8264809836569414,0.8903824488075888,0.8024228238376103
T11SKV_2018_1_6,0.9533070713429542,0.9782121018618506,0.9728390792750438,0.9755181921536855,0.9522064566519136
T10SGF_2018_1_5,0.5667231273284918,0.9675906471639304,0.5656737525020454,0.713954660900419,0.5551551249354018
T10SEJ_2018_2_7,0.4905377951301644,0.974133085251833,0.4610459692531463,0.625873309761198,0.45546987348919843
T10SEJ_2018_2_6,0.6176663001851309,0.9543525808126636,0.617596444641562,0.7499031473671196,0.5998760382347317
T10SGF_2018_8_4,0.9390194728255138,0.9874545157111466,0.9493829889435359,0.9680445750546135,0.9380682068761301
T10SFH_2018_0_1,0.8509677538082159,0.9502545843375348,0.8783535536219285,0.9128904915952037,0.8397410606174918
T10SEH_2018_0_9,0.9078044579284035,0.9142352633956884,0.9921917788191739,0.9516196446667383,0.9077045748002737
T11SKV_2018_6_7,0.8199684972784983,0.9578449743856474,0.8468354968606151,0.8989260289819216,0.8164083909373989
T11SKV_2018_4_7,0.8439913424744157,0.9580028610136858,0.8729168437665165,0.9134828049226222,0.8407439928804509
T11SLV_2018_9_2,0.7434024720810101,0.9676263330364566,0.756371501709871,0.8490555705604949,0.7377033580795676
T10SGG_2018_7_4,0.5619278393137344,0.9733743881715589,0.5581477082878744,0.7094728640481721,0.5497543168860999
T10SGF_2018_7_9,0.7706424278254015,0.9459376570157064,0.7911413820579151,0.8616423415150245,0.7569170682804317
T10SFH_2018_9_5,0.7219888400908069,0.9493447506740521,0.7271562134993579,0.8235270351257988,0.6999965657637169
T10SGF_2018_0_2,0.6001104945990067,0.9677162252703966,0.5997312407528453,0.7405283622685308,0.5879674778563121
T10SGF_2018_2_6,0.5287865367581931,0.960352016281541,0.5197482728790224,0.6744695686821397,0.5088299391297814
T10SGF_2018_2_1,0.9132067910641516,0.9807952422869657,0.9288540132628075,0.9541182437976459,0.9122620584396597
T11SKA_2018_7_4,0.7010844800874875,0.9422213003489407,0.6982071112408191,0.8020656160528898,0.6695405247574074
T10SFG_2018_6_6,0.6637080187669884,0.9664736558578734,0.6577878961805802,0.7827984009137636,0.6431131880712422
T11SKV_2018_3_3,0.7954017351502201,0.9760628317160779,0.8077874043061236,0.883988179444681,0.7920957136500717
