timestep,tile_id,accuracy,precision,recall,f1,jaccard
Timestep_6,T10SGF_2018_0_4,0.6451844884389899,0.8743672849794608,0.6740557781052603,0.7612548981962137,0.6145371611057996
Timestep_6,T10SGF_2018_4_8,0.4274861397274727,0.9287435326513708,0.3422564926860351,0.5001864638133479,0.3334990995514655
Timestep_6,T11SKA_2018_8_2,0.872553508448877,0.9629066147144418,0.8961290804888615,0.9283185056286184,0.8662261226906267
Timestep_6,T10SGF_2018_1_1,0.7736205254793448,0.9562474686223912,0.7802033103698773,0.859301570281166,0.7533117850376734
Timestep_6,T11SKV_2018_5_4,0.5364190895186147,0.4764471262749104,0.7685729412330943,0.588238501112849,0.416669884804579
Timestep_6,T10SGG_2018_4_0,0.6071728361883338,0.918253345370467,0.5914001743339518,0.7194434768597175,0.5618209457052635
Timestep_6,T11SKA_2018_9_6,0.7314574271485496,0.7736918296516593,0.8234402981899478,0.7977912657438833,0.6636046162462192
Timestep_6,T10SFH_2018_3_0,0.7376510031486292,0.7376510031486292,1.0,0.8490208929318985,0.7376510031486292
Timestep_6,T11SKV_2018_3_3,0.516109767386306,0.4979124918360932,0.7707415369008719,0.6049905340732735,0.4336820278644984
Timestep_6,T11SKA_2018_4_3,0.6365332231810777,0.9467778407025104,0.6372068144935341,0.7617413337030663,0.6151714132404071
Timestep_6,T10TEK_2018_8_7,0.6190656301737553,0.9532144870623456,0.5297856110226318,0.6810509589528191,0.5163588112639272
Timestep_6,T10SFH_2018_1_1,0.696285015643611,0.696285015643611,1.0,0.8209528578302319,0.696285015643611
Timestep_6,T11SKV_2018_0_6,0.7769416823434561,0.8154405577593461,0.8546330708661417,0.834576938455387,0.716115002348818
Timestep_6,T10SFH_2018_5_4,0.4849925846297789,0.4849925846297789,1.0,0.6531919278919385,0.4849925846297789
Timestep_6,T10SGG_2018_4_1,0.5358683282404504,0.8001776489754484,0.4584034377033515,0.5828852649163362,0.4113183290567673
Timestep_6,T10SFH_2018_8_6,0.7471275808640316,0.7471275808640316,1.0,0.8552639075098845,0.7471275808640316
Timestep_6,T11SKA_2018_0_1,0.5945078151698235,0.8091401122888108,0.6464983744541406,0.718733081138616,0.5609549974000174
Timestep_6,T10SFG_2018_4_5,0.5100032846606348,0.510513916172192,0.9826950502061196,0.6719481462806218,0.5059652937486933
